Name	Consensus length	Total read count	Single reads	Reads in pairs	Average coverage	Reference sequence	Reference length	Reference common name	Reference latin name
seed-27881	3404	116	18	98	4.98	seed-27881	3429		
seed-28072	1819	50	10	40	3.669	seed-28072	2026		
seed-28355	2301	82	26	56	5.132	seed-28355	2302		
seed-28967	3170	80	42	38	2.253	seed-28967	5017		
seed-29484	7163	309	105	204	5.819	seed-29484	7589		
seed-29640	3553	126	40	86	4.853	seed-29640	3753		
seed-29941	3347	98	14	84	4.297	seed-29941	3393		
seed-30396	4649	991	563	428	30.208	seed-30396	4648		
seed-30994	3752	743	89	654	29.505	seed-30994	3752		
seed-31324	2848	6736	2306	4430	338.342	seed-31324	2855		
seed-31461	2862	112	36	76	5.419	seed-31461	2975		
seed-32186	3754	130	20	110	5.109	seed-32186	3765		
seed-32892	4282	212	76	136	7.086	seed-32892	4298		
seed-33578	5990	488	196	292	11.781	seed-33578	6018		
seed-39355	3532	823	91	732	34.665	seed-39355	3532		
seed-41414	2082	653	89	564	45.973	seed-41414	2114		
seed-47422	2170	76	16	60	5.008	seed-47422	2183		
seed-49732	1923	194	40	154	14.299	seed-49732	2025		
seed-867	33118	5451	4717	734	19.206	seed-867	39022		
seed-933	6329	158	12	146	3.214	seed-933	7318		
seed-1165	19956	905	541	364	5.061	seed-1165	25337		
seed-1213	4111	92	30	62	2.592	seed-1213	5152		
seed-1304	19756	8063	7031	1032	48.969	seed-1304	23001		
seed-1460	23425	1328	850	478	6.774	seed-1460	27199		
seed-1584	9485	967	829	138	10.017	seed-1584	11819		
seed-2140	10213	207	51	156	2.727	seed-2140	11132		
seed-2146	13352	635	447	188	5.215	seed-2146	16400		
seed-2177	45862	11711	7693	4018	29.022	seed-2177	56201		
seed-2324	3051	60	8	52	2.629	seed-2324	3376		
seed-2480	6136	1281	673	608	23.256	seed-2480	7809		
seed-2533	23842	1197	767	430	5.707	seed-2533	29463		
seed-2553	26676	5028	4048	980	22.571	seed-2553	31766		
seed-2599	9402	175	13	162	2.173	seed-2599	11999		
seed-2612	3982	209	121	88	5.517	seed-2612	5412		
seed-2806	6262	90	6	84	1.441	seed-2806	9344		
seed-2973	8188	195	33	162	3.005	seed-2973	9564		
seed-3098	17380	650	380	270	4.142	seed-3098	20708		
seed-3119	65007	7341	5225	2116	12.217	seed-3119	84314		
seed-3232	25758	1053	599	454	5.163	seed-3232	29558		
seed-3237	12698	892	696	196	6.76	seed-3237	17175		
seed-3391	8964	167	27	140	2.105	seed-3391	11684		
seed-3473	26200	1138	692	446	5.15	seed-3473	31409		
seed-3582	56916	14948	7890	7058	32.341	seed-3582	65515		
seed-3675	14146	8631	6809	1822	74.052	seed-3675	16585		
